ID,Predicted
117804,2084P0800X
117805,207Q00000X
117813,2084N0400X
117816,2084N0400X
117817,207RP1001X
117820,2084N0400X
117823,207RG0100X
117824,2084P0800X
117827,207Q00000X
117830,208100000X
117836,
117839,207Q00000X
117844,
117845,2084N0400X
117849,207R00000X
117863,207Q00000X
117868,2084P0800X
117878,207RC0000X
117881,207R00000X
117888,207Q00000X
117893,2084P0800X
117901,2084P0800X
117904,2084N0400X
117907,2084P0800X
117908,2084P0800X
117914,
117920,2084P0800X
117923,207ZP0105X
117925,2084P0800X
117928,207N00000X
117930,207W00000X
117934,2084N0402X
117935,207RG0300X
117938,2084P0800X
117940,207R00000X
117949,2084P0800X
117951,2084P0800X
117955,2084N0400X
117957,2084P0800X
117961,207R00000X
117965,2084P0800X
117973,363LF0000X
117977,207ZP0105X
117978,2084N0400X
117979,2084N0400X
117981,2084N0400X
117982,2084N0400X
117983,2084N0400X
117985,2084P0800X
117987,2084N0400X
117989,208000000X
117991,2084P0800X
117996,2084N0400X
117997,364SP0808X
117999,
118001,207Q00000X
118002,2084N0400X
118005,2084N0600X
118008,207RP1001X
118010,183500000X
118011,2084P0800X
118012,207R00000X
118016,2084P0800X
118017,2084N0400X
118028,207R00000X
118033,207Q00000X
118040,207V00000X
118041,2084N0400X
118042,207Q00000X
118043,2084N0400X
118048,207R00000X
118050,207Q00000X
118051,2084N0600X
118052,207R00000X
118053,207R00000X
118055,207R00000X
118056,2084N0402X
118057,207Q00000X
118061,207R00000X
118078,363AM0700X
118079,207Q00000X
118081,2084N0402X
118082,207P00000X
118090,207R00000X
118094,207W00000X
118098,2084P0800X
118099,207R00000X
118103,2084P0800X
118105,2084N0600X
118113,207Q00000X
118115,2084P0800X
118123,207QS1201X
118124,2084P0800X
118125,2084P0800X
118127,2084P0800X
118145,
118146,
118149,2084N0400X
118150,2084P0800X
118152,207Q00000X
118158,2084P0800X
118159,207RI0011X
118164,207RI0011X
118171,207R00000X
118173,207W00000X
118179,207Q00000X
118185,2084N0600X
118194,2084N0600X
118207,207R00000X
118208,2084N0400X
118213,2084P0800X
118214,2084N0400X
118215,2084P0805X
118218,2084N0400X
118219,2084N0400X
118225,2084P0800X
118226,
118227,204D00000X
118232,
118234,
118238,207RC0000X
118247,2084N0400X
118250,
118260,207RE0101X
118262,208000000X
118263,207Q00000X
118264,174400000X
118265,207Q00000X
118266,2084N0400X
118268,207Q00000X
118270,2084N0400X
118272,207N00000X
118274,207RC0000X
118275,2084N0400X
118283,207Q00000X
118284,2084P0804X
118285,2084P0800X
118286,208000000X
118295,2084P0800X
118297,207T00000X
118298,207Q00000X
118311,2084P0800X
118314,2084N0400X
118318,2084P0800X
118321,207Q00000X
118322,2084P0804X
118330,207Q00000X
118332,207R00000X
118337,2084P0800X
118339,2084P0800X
118340,2084P0800X
118345,207X00000X
118350,2084P0800X
118352,2084P0800X
118354,2084N0400X
118355,207RH0003X
118359,207RN0300X
118362,2084P0800X
118366,207Q00000X
118367,2084A2900X
118368,207Q00000X
118374,2084N0600X
118386,2084N0400X
118389,2084N0400X
118395,207N00000X
118399,207RR0500X
118404,207T00000X
118405,2084N0400X
118408,2084P0800X
118409,207V00000X
118410,207RG0100X
118418,207V00000X
118422,207R00000X
118424,208000000X
118425,
118426,207Q00000X
118427,2084P0800X
118429,2084N0400X
118431,2084P0800X
118434,2084P0800X
118441,2084P0800X
118444,207X00000X
118446,2084P0800X
118452,2084N0400X
118453,2084P0800X
118457,207RG0100X
118459,2084N0400X
118462,2084P0800X
118467,207RG0100X
118471,207RH0003X
118472,2084V0102X
118476,
118482,207Q00000X
118483,2084P0800X
118484,207RG0100X
118485,2084N0400X
118486,208000000X
118487,207RG0300X
118490,2084P0800X
118492,207R00000X
118493,207RC0200X
118497,2084P0800X
118502,2084P0800X
118503,2084N0400X
118507,207R00000X
118508,2084P0802X
118509,2084N0400X
118514,207Q00000X
118515,2084F0202X
118518,2084P0800X
118519,2084N0400X
118526,207N00000X
118528,2084N0400X
118529,207Q00000X
118531,2084P0800X
118532,207Q00000X
118533,2084P0800X
118535,208000000X
118537,207RC0000X
118538,207R00000X
118540,2084N0400X
118541,207Q00000X
118542,2084P0800X
118545,
118549,2084N0400X
118550,2084P0800X
118555,207R00000X
118556,
118566,2084P0800X
118567,2084P0800X
118568,
118572,207RX0202X
118573,363LF0000X
118576,2084P0800X
118577,207RG0300X
118588,2084P0800X
118591,2084P0800X
118597,207Q00000X
118598,2084P0800X
118599,2084P0800X
118600,2084P0800X
118605,2084P0800X
118609,207R00000X
118614,207Q00000X
118619,2084P0800X
118621,2084N0400X
118622,207R00000X
118625,
118627,207Q00000X
118628,2084P0800X
118630,2084N0400X
118632,207L00000X
118637,207R00000X
118640,2084N0400X
118641,2084N0400X
118643,207Q00000X
118646,207RC0000X
118650,207Q00000X
118651,207T00000X
118657,2084P0800X
118658,2084P0800X
118659,208000000X
118662,2084P0800X
118665,207Q00000X
118667,2084N0400X
118672,
118674,207W00000X
118675,2084N0402X
118677,
118678,207Q00000X
118679,2084N0400X
118680,2084P0800X
118681,207Q00000X
118682,207R00000X
118687,207RC0000X
118691,
118695,207R00000X
118697,2084N0400X
118700,2084P0800X
118710,207R00000X
118712,363LF0000X
118717,2084N0400X
118723,207R00000X
118724,208000000X
118725,207RS0012X
118729,2084P0800X
118730,2084P0800X
118731,207RG0100X
118733,207R00000X
118735,
118737,207Q00000X
118739,174400000X
118747,2084N0400X
118748,2084P0800X
118752,208100000X
118756,2084P0800X
118758,183500000X
118764,207T00000X
118767,2084P0800X
118769,207R00000X
118778,
118786,
118788,2084P0800X
118790,2084F0202X
118793,174400000X
118801,207R00000X
118802,207Q00000X
118804,208VP0014X
118806,207W00000X
118807,207R00000X
118812,207R00000X
118814,207Q00000X
118815,207R00000X
118821,207Q00000X
118822,207Q00000X
118824,208800000X
118825,2084P0800X
118827,207R00000X
118830,2084P0800X
118831,2085R0001X
118834,208000000X
118838,2084P0800X
118840,207RH0003X
118844,207Q00000X
118848,207R00000X
118850,2084N0400X
118851,207R00000X
118854,207R00000X
118857,207R00000X
118859,2084P0800X
118871,2084P0800X
118872,207Q00000X
118873,2084N0400X
118874,207Q00000X
118878,207RH0003X
118880,207RI0200X
118882,
118883,2084N0400X
118885,2084N0400X
118893,
118904,2084P0800X
118905,207R00000X
118906,207ZP0105X
118908,207Q00000X
118909,207N00000X
118915,2084N0400X
118919,2084N0400X
118925,207R00000X
118934,2085R0202X
118939,207Q00000X
118943,2084N0400X
118944,2084N0400X
118947,2084N0400X
118950,207RC0000X
118960,2084P0800X
118963,2084P0805X
118974,207RH0003X
118981,2084N0600X
118987,174400000X
118988,2084P0800X
118993,2084P0800X
118994,207Q00000X
118997,207R00000X
119002,2084P0800X
119004,363LP0808X
119006,207Q00000X
119011,207Q00000X
119012,207R00000X
119015,207RP1001X
119021,2084P0800X
119023,207N00000X
119025,207Q00000X
119028,2084N0400X
119029,2084N0400X
119033,2084P0800X
119041,204D00000X
119050,207Q00000X
119061,207R00000X
119062,207R00000X
119067,2080P0008X
119070,2084P0800X
119073,2084P0800X
119075,207P00000X
119078,207Q00000X
119079,2084P0800X
119081,2084P0800X
119085,2084N0400X
119086,2084P0800X
119090,207R00000X
119093,207RA0000X
119094,2084V0102X
119096,207Q00000X
119098,208000000X
119100,
119102,2084N0400X
119103,207Q00000X
119106,2084P0800X
119107,207Q00000X
119113,
119115,2084P0800X
119129,207R00000X
119133,2084P0800X
119136,
119138,207R00000X
119139,207R00000X
119145,207RG0100X
119147,2084N0400X
119151,2084N0600X
119156,2084N0400X
119159,207R00000X
119162,2084P0800X
119163,208M00000X
119164,2084N0400X
119167,2084P0804X
119170,207Q00000X
119171,390200000X
119172,2084N0400X
119182,
119187,207RG0300X
119191,207RP1001X
119192,207N00000X
119195,207N00000X
119198,207RI0011X
119202,207P00000X
119204,207R00000X
119207,207R00000X
119208,207Q00000X
119209,
119215,2084P0800X
119217,207R00000X
119218,208100000X
119222,
119225,
119229,207R00000X
119231,2084N0400X
119236,207R00000X
119239,2084P0800X
119244,2084P0800X
119251,207R00000X
119257,207RI0011X
119258,2084P0800X
119260,207Q00000X
119261,207RC0000X
119265,2084N0400X
119266,208000000X
119269,207N00000X
119272,
119282,208000000X
119284,2084N0400X
119285,2084N0400X
119294,207T00000X
119302,2084N0402X
119312,
119315,2084N0400X
119316,207Q00000X
119317,207R00000X
119319,207RG0100X
119324,207Q00000X
119326,207P00000X
119327,2084P0800X
119328,207R00000X
119329,207L00000X
119331,207RC0000X
119332,2084N0400X
119334,207Q00000X
119335,
119337,2084N0400X
119345,207T00000X
119347,2084F0202X
119348,
119350,207R00000X
119355,2084P0800X
119356,2084F0202X
119357,2084N0400X
119359,2084P0800X
119365,207R00000X
119368,2084N0008X
119371,208000000X
119373,207R00000X
119374,2084N0400X
119379,2084N0400X
119385,207R00000X
119387,2084N0400X
119393,207V00000X
119399,207R00000X
119400,2084P0800X
119404,2084P0804X
119411,207R00000X
119412,
119417,2084N0400X
119419,2084N0400X
119424,207UN0901X
119433,207N00000X
119435,2084P0800X
119439,2084N0600X
119448,
119449,207Q00000X
119450,207RH0003X
119461,2084N0400X
119463,2085R0001X
119466,207R00000X
119467,2084N0400X
119469,2084P0800X
119477,207Q00000X
119478,207R00000X
119480,207Q00000X
119481,207R00000X
119482,207V00000X
119493,207R00000X
119498,208200000X
119502,2084P0800X
119505,207Q00000X
119511,2084P0804X
119513,
119515,207W00000X
119517,2084N0402X
119521,2084N0400X
119523,207R00000X
119524,2084P0800X
119525,207VG0400X
119527,207Q00000X
119529,2084N0400X
119532,2084P0800X
119535,2084P0800X
119540,207Q00000X
119542,207R00000X
119546,207VG0400X
119551,
119552,
119556,2084P0800X
119559,207R00000X
119560,207Q00000X
119566,2084P0800X
119569,208000000X
119574,207Q00000X
119575,207Q00000X
119578,2084P0800X
119579,207R00000X
119581,2084N0400X
119582,2084P0800X
119584,2084P0800X
119589,2084N0400X
119595,2084N0400X
119596,207QG0300X
119598,2084P0800X
119604,2084P0800X
119605,207R00000X
119616,207N00000X
119619,207R00000X
119626,204D00000X
119627,2085R0001X
119629,207RH0003X
119630,
119631,207Q00000X
119632,2084N0400X
119634,207Q00000X
119643,2084P0800X
119645,2084N0400X
119648,2085R0001X
119649,207RG0100X
119651,
119652,174400000X
119656,174400000X
119662,2084P0800X
119663,208000000X
119667,376K00000X
119670,207RC0000X
119672,2084P0800X
119674,207Q00000X
119676,207R00000X
119685,207Q00000X
119686,207ZP0105X
119690,2084N0400X
119692,207Q00000X
119694,2084P0800X
119698,2084N0400X
119701,207Q00000X
119710,2084N0400X
119711,2084P0800X
119719,207R00000X
119720,2084P0800X
119728,2084N0402X
119735,174400000X
119742,2084P0800X
119754,207R00000X
119756,208000000X
119757,2084N0400X
119760,2084P0800X
119761,2084P0800X
119768,2084P0800X
119769,207Q00000X
119771,2085R0001X
119772,2084N0400X
119774,2084N0400X
119775,208000000X
119778,207R00000X
119780,
119784,208000000X
119786,207Q00000X
119787,207Q00000X
119789,207L00000X
119793,208000000X
119797,207QA0401X
119798,2084P0800X
119799,2084N0400X
119806,207RH0003X
119810,207R00000X
119813,2084S0012X
119820,207ZP0105X
119823,207R00000X
119824,207Q00000X
119825,207ZP0105X
119830,207RG0100X
119836,2084N0400X
119838,2084P0800X
119839,207R00000X
119843,2084N0400X
119850,207R00000X
119861,207Q00000X
119866,207R00000X
119867,207R00000X
119869,207RC0200X
119876,2084N0402X
119877,207Q00000X
119879,2084N0400X
119881,208100000X
119882,2084P0800X
119883,2084N0400X
119885,2084P0804X
119886,207Q00000X
119888,2084P0800X
119892,207R00000X
119896,207RG0300X
119916,2084N0402X
119921,207Q00000X
119926,2084N0400X
119928,207R00000X
119932,2084N0400X
119933,207R00000X
119942,2084N0400X
119944,207T00000X
119945,207R00000X
119946,207RG0100X
119948,2084P0800X
119949,204D00000X
119954,207RI0200X
119955,2084P0800X
119958,2084P0800X
119961,2084P0800X
119966,
119974,174400000X
119975,207RP1001X
119981,207Q00000X
119984,
119985,207RA0401X
119987,2084P0800X
119992,207R00000X
119996,208000000X
119998,207RH0000X
120004,2084P0804X
120005,
120006,207RC0000X
120015,2084P0800X
120016,207Q00000X
120018,207N00000X
120023,2084N0400X
120033,207R00000X
120038,2084P0800X
120039,2084N0400X
120042,207VX0201X
120043,207RI0011X
120050,2084P0800X
120051,207R00000X
120054,2084P0804X
120058,207R00000X
120064,2084N0400X
120065,207R00000X
120071,2084P0804X
120072,207Q00000X
120073,207RR0500X
120079,2084N0400X
120080,2084P0800X
120081,207R00000X
120088,2084P0800X
120091,207Q00000X
120094,2084N0400X
120096,2084N0400X
120100,
120103,2084N0400X
120105,2084N0400X
120107,207Q00000X
120110,2084N0600X
120111,2084P0800X
120112,207RC0200X
120115,
120119,207Q00000X
120121,2084P0800X
120122,
120128,2084N0400X
120129,207Q00000X
120132,
120134,2084P0800X
120137,
120140,2084N0400X
120141,207ZP0105X
120147,208000000X
120149,207Q00000X
120154,207Q00000X
120156,207T00000X
120158,2084P0800X
120163,2084P0800X
120164,
120166,207Q00000X
120169,207Q00000X
120171,2084N0400X
120173,2084P0800X
120175,207Q00000X
120177,2084N0402X
120184,207Q00000X
120185,2084P0800X
120196,207R00000X
120197,2084N0400X
120207,2084P0800X
120212,
120213,2084N0400X
120214,2084N0400X
120222,
120227,
120229,2084N0400X
120232,2084P0800X
120233,2084P0800X
120235,2084P0804X
120237,207Q00000X
120241,2084P0800X
120248,207N00000X
120256,2084N0400X
120258,207V00000X
120261,2084P0800X
120267,207R00000X
120268,207RG0100X
120272,
120274,2084P0800X
120275,207ZP0105X
120278,207R00000X
120279,
120280,
120282,2084N0400X
120286,207Q00000X
120289,
120290,2084A0401X
120292,2084P0800X
120293,2084N0400X
120294,207R00000X
120300,2084N0400X
120305,2084N0400X
120310,2084P0800X
120315,
120318,2084N0400X
120322,2084P0800X
120323,2084N0400X
120325,207Q00000X
120335,
120341,2084N0400X
120344,2084N0400X
120346,207R00000X
120348,207Q00000X
120350,
120351,2084P0800X
120355,207Q00000X
120362,
120369,
120377,2085R0001X
120381,2084P0800X
120384,2084N0400X
120387,207Q00000X
120393,207R00000X
120400,2084N0400X
120408,
120418,204R00000X
120429,207RE0101X
120433,207R00000X
120435,207RH0003X
120437,207Q00000X
120447,2080P0207X
120448,207RR0500X
120456,2084N0400X
120458,207R00000X
120464,207RA0401X
120468,207Q00000X
120475,2085R0001X
120478,2084N0400X
120480,207Q00000X
120481,207Q00000X
120483,208000000X
120485,2084P0800X
120486,207Q00000X
120487,1835P2201X
120488,2084P0800X
120491,208000000X
120492,2084P0800X
120499,2084N0400X
120501,207Q00000X
120502,2084N0400X
120504,2084N0400X
120505,2084P0800X
120509,207RH0000X
120510,2084N0600X
120513,207Q00000X
120521,2084P0800X
120524,2084N0400X
120529,207R00000X
120535,2084P0800X
120536,
120541,174400000X
120543,2084P0800X
120544,363A00000X
120550,363AM0700X
120552,207RG0100X
120554,208M00000X
120555,2084P0800X
120558,207Q00000X
120561,174400000X
120562,2084P0800X
120584,2084N0400X
120585,2085R0001X
120586,207Q00000X
120588,2084N0400X
120594,
120596,207RH0003X
120602,2084P0800X
120605,2084P0800X
120612,207RH0003X
120621,207P00000X
120623,2084N0400X
120625,207RG0100X
120632,207VE0102X
120633,2084P0800X
120637,
120638,2084N0400X
120640,207R00000X
120643,2084P0800X
120644,2084P0800X
120646,207R00000X
120648,207Q00000X
120649,2084P0800X
120658,207W00000X
